    1      736.319240205     0.0000   1.184961    0.02463    11575.1    98.8
    2      736.319303862     5.5000   1.184961    0.02439    10981.8    96.3
    3      736.319368967    11.1250   1.184961    0.02417    11359.0    97.9
    4      736.319432624    16.6250   1.184961    0.02397    11853.6   100.0
    5      736.319497728    22.2500   1.184961    0.02378    12202.9   101.5
    6      736.319564279    28.0000   1.184961    0.02359    11811.4    99.8
    7      736.319626490    33.3750   1.184961    0.02343    12069.6   100.9
    8      736.319693041    39.1250   1.184961    0.02327    12375.1   102.2
    9      736.319755251    44.5000   1.184961    0.02314    11510.1    98.6
   10      736.319821802    50.2500   1.184961    0.02300    12358.2   102.1
   11      736.319886906    55.8750   1.184961    0.02288    12512.6   102.8
   12      736.319949117    61.2500   1.184961    0.02278    12056.9   100.9
   13      736.320015668    67.0000   1.184961    0.02268    11769.2    99.7
   14      736.320080772    72.6250   1.184961    0.02259    12077.2   101.0
   15      736.320144430    78.1250   1.184961    0.02252    12001.2   100.6
   16      736.320209534    83.7500   1.184961    0.02245    12458.6   102.5
   17      736.320276085    89.5000   1.184961    0.02239    12752.3   103.7
   18      736.320338295    94.8750   1.184961    0.02235    12454.4   102.5
   19      736.320404846   100.6250   1.184961    0.02231    11777.6    99.7
   20      736.320469950   106.2500   1.184961    0.02228    12689.9   103.5
   21      736.320533608   111.7500   1.184961    0.02226    12843.5   104.1
   22      736.320598712   117.3750   1.184961    0.02225    12131.2   101.2
   23      736.320663816   123.0000   1.184961    0.02224    12922.8   104.4
   24      736.320730367   128.7500   1.184961    0.02225    12778.5   103.8
   25      736.320792578   134.1250   1.184961    0.02226    12374.2   102.2
   26      736.320859129   139.8750   1.184961    0.02227    12905.1   104.4
   27      736.320924233   145.5000   1.184961    0.02230    12716.9   103.6
   28      736.320987890   151.0000   1.184961    0.02233    12163.3   101.3
   29      736.321052994   156.6250   1.184961    0.02236    12899.2   104.3
   30      736.321116652   162.1250   1.184961    0.02241    12783.5   103.9
   31      736.321181756   167.7500   1.184961    0.02245    11954.0   100.4
   32      736.321248307   173.5000   1.184961    0.02251    11909.3   100.3
   33      736.321310517   178.8750   1.184961    0.02257    12841.8   104.1
   34      736.321375622   184.5000   1.184961    0.02263    12714.3   103.6
   35      736.321442173   190.2500   1.184961    0.02270    12385.2   102.2
   36      736.321504383   195.6250   1.184961    0.02277    12770.0   103.8
   37      736.321570934   201.3750   1.184961    0.02285    12673.8   103.4
   38      736.321636038   207.0000   1.184961    0.02293    12039.2   100.8
   39      736.321699696   212.5000   1.184961    0.02302    12955.7   104.6
   40      736.321764800   218.1250   1.184961    0.02310    12754.0   103.7
   41      736.321831351   223.8750   1.184961    0.02320    12190.3   101.4
   42      736.321893561   229.2500   1.184961    0.02329    12841.8   104.1
   43      736.321960112   235.0000   1.184961    0.02339    12619.0   103.2
   44      736.322025217   240.6250   1.184961    0.02349    12148.9   101.3
   45      736.322090321   246.2500   1.184961    0.02360    12317.7   102.0
   46      736.322153978   251.7500   1.184961    0.02370    12392.0   102.3
   47      736.322219082   257.3750   1.184961    0.02381    11871.3   100.1
   48      736.322285633   263.1250   1.184961    0.02393    12273.0   101.8
   49      736.322347844   268.5000   1.184961    0.02403    12921.1   104.4
   50      736.322414395   274.2500   1.184961    0.02415    12285.6   101.8
   51      736.322479499   279.8750   1.184961    0.02427    12258.6   101.7
   52      736.322543156   285.3750   1.184961    0.02438    12917.7   104.4
   53      736.322608261   291.0000   1.184961    0.02450    12143.0   101.2
   54      736.322671918   296.5000   1.184961    0.02462    11375.1    98.0
   55      736.322737022   302.1250   1.184961    0.02474    12476.4   102.6
   56      736.322802126   307.7500   1.184961    0.02486    12198.7   101.5
   57      736.322865784   313.2500   1.184961    0.02498    11549.7    98.7
   58      736.322930888   318.8750   1.184961    0.02510    12179.3   101.4
   59      736.322994545   324.3750   1.184961    0.02522    11733.7    99.5
   60      736.323059649   330.0000   1.184961    0.02534    11569.2    98.8
   61      736.323126200   335.7500   1.184961    0.02546    11321.9    97.7
   62      736.323188411   341.1250   1.184961    0.02558    11677.2    99.3
   63      736.323254962   346.8750   1.184961    0.02570    11137.1    96.9
   64      736.323320066   352.5000   1.184961    0.02582    10780.1    95.4
   65      736.323383724   358.0000   1.184961    0.02594    11453.5    98.3
   66      736.323448828   363.6250   1.184961    0.02606    10943.0    96.1
   67      736.323513932   369.2500   1.184961    0.02618    10581.8    94.5
   68      736.323577589   374.7500   1.184961    0.02629    11867.9   100.1
   69      736.323642693   380.3750   1.184961    0.02641    11452.7    98.3
   70      736.323709244   386.1250   1.184961    0.02652    11479.7    98.4
   71      736.323771455   391.5000   1.184961    0.02663    12228.3   101.6
   72      736.323838006   397.2500   1.184961    0.02674    12073.0   100.9
   73      736.323903110   402.8750   1.184961    0.02685    11220.6    97.3
   74      736.323966768   408.3750   1.184961    0.02696    11369.2    98.0
   75      736.324031872   414.0000   1.184961    0.02707    11489.8    98.5
   76      736.324098423   419.7500   1.184961    0.02717    10752.3    95.3
   77      736.324163527   425.3750   1.184961    0.02728    10655.2    94.8
   78      736.324225737   430.7500   1.184961    0.02737    11409.7    98.1
   79      736.324292288   436.5000   1.184961    0.02747    11035.0    96.5
   80      736.324354499   441.8750   1.184961    0.02756    10682.2    94.9
   81      736.324421050   447.6250   1.184961    0.02766    11963.3   100.5
   82      736.324486154   453.2500   1.184961    0.02775    10985.2    96.3
   83      736.324549812   458.7500   1.184961    0.02784    11410.5    98.1
   84      736.324614916   464.3750   1.184961    0.02792    12905.1   104.4
