  0.500000000       1.61399996    
   1.00000000       2.43700004    
   1.50000000       3.39899993    
   2.00000000       4.68499994    
   2.50000000       6.09800005    
   3.00000000       8.00000000    
   3.50000000       9.56799984    
   4.00000000       12.1110001    
   4.50000000       14.4029999    
   5.00000000       16.9669991    
   5.50000000       20.3470001    
   6.00000000       23.5319996    
   6.50000000       27.4699993    
   7.00000000       30.2479992    
   7.50000000       33.8450012    
   8.00000000       38.7729988    
   8.50000000       43.5390015    
   9.00000000       47.9570007    
   9.50000000       53.0929985    
   10.0000000       58.0849991    
   10.5000000       63.2949982    
   11.0000000       71.0360031    
   11.5000000       76.7770004    
   12.0000000       83.4449997    
   12.5000000       85.6230011    
   13.0000000       90.8730011    
   13.5000000       101.022003    
   14.0000000       107.848000    
   14.5000000       112.593002    
   15.0000000       128.242996    
   15.5000000       132.561005    
   16.0000000       140.492004    
   16.5000000       149.011002    
   17.0000000       162.052994    
   17.5000000       169.337006    
   18.0000000       176.093994    
   18.5000000       181.720001    
   19.0000000       197.854004    
   19.5000000       203.085999    
   20.0000000       220.858994    
   20.5000000       228.878998    
   21.0000000       238.968994    
   21.5000000       256.334015    
   22.0000000       258.569000    
   22.5000000       270.147003    
   23.0000000       273.656006    
   23.5000000       297.074005    
   24.0000000       321.967010    
   24.5000000       328.063995    
