0.965181 1
0.694820 2
0.618198 3
0.485783 4
0.407198 5
0.436247 6
0.320176 7
0.371009 8
0.325398 9
0.317662 10
0.310626 11
0.325678 12
0.249622 13
0.263796 14
0.279357 15
0.243064 16
0.238407 17
0.229571 18
0.204162 19
0.242907 20
0.194963 21
0.214463 22
0.220120 23
0.182063 24
0.214822 25
0.188970 26
0.190762 27
0.199996 28
0.177010 29
0.176343 30
0.181905 31
0.182906 32
0.147620 33
0.169166 34
0.169855 35
0.181282 36
0.179070 37
0.157105 38
0.160756 39
0.168407 40
0.132637 41
0.144252 42
0.135558 43
0.137444 44
0.163388 45
0.130470 46
0.136459 47
0.158804 48
0.148502 49
0.121707 50
0.145708 51
0.154996 52
0.138175 53
0.125632 54
0.140778 55
0.145842 56
0.135212 57
0.132172 58
0.134453 59
0.119580 60
0.129070 61
0.143321 62
0.124935 63
0.123756 64
0.108496 65
0.131665 66
0.127284 67
0.127922 68
0.106106 69
0.115752 70
0.121602 71
0.110924 72
0.120490 73
0.109478 74
0.124510 75
0.122250 76
0.117982 77
0.111481 78
0.119826 79
0.103606 80
0.107589 81
0.099413 82
0.111824 83
0.110203 84
0.097907 85
0.096035 86
0.105527 87
0.095990 88
0.098213 89
0.106910 90
0.092456 91
0.093792 92
0.109843 93
0.112187 94
0.099945 95
0.102887 96
0.099656 97
0.109604 98
0.108444 99
0.105196 100
